id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
1	alloy	-0.8044	-0.138	1	6	14	56
2	alloy evolution	0.7689	0.1826	6	4	51	59
3	carbon nanotube	-0.929	-0.2848	1	2	4	19
4	carbon nanotube evolution	0.1197	-0.8006	11	3	13	14
5	catalytic evolution	0.5496	0.3664	2	3	21	23
6	cell	-0.0861	0.1942	4	4	10	37
7	co v hydrogen evolution	0.3061	-0.1129	3	19	56	385
8	cr evolution	0.6563	0.5465	13	4	27	32
9	effect	-0.5376	-0.1459	1	14	33	148
10	efficiency	-0.4102	-0.3415	1	6	15	27
11	evolution density	1.3003	-0.4206	7	2	15	15
12	evolution ir	-0.2582	0.2153	2	5	53	63
13	evolution mon	0.1227	0.6756	2	3	25	30
14	evolution single atom	0.1635	0.0529	8	5	17	20
15	fe evolution	-0.0291	-0.1568	12	5	65	75
16	fe nife	-0.9191	0.0982	1	1	1	18
17	framework	-0.4778	0.1206	5	11	41	134
18	growth	2.2793	-0.2394	9	1	7	17
19	hydrogen evolution	0.3022	-0.0255	2	29	349	2028
20	hydrogen evolution activity	0.3175	0.4194	2	13	38	157
21	molybdenum evolution	1.0025	-0.3694	3	2	10	10
22	mxene evolution	0.8443	0.541	2	3	13	14
23	nanowire	-0.8258	-0.0485	1	6	10	26
24	nic ni	-0.6109	0.0192	5	6	24	33
25	phase evolution	-0.2555	0.2951	4	5	14	15
26	photocatalyst	-0.6257	-0.2418	1	6	11	61
27	photocathode	-0.8761	-0.0771	1	3	3	30
28	production	-0.7125	-0.1992	1	7	11	96
29	review evolution	0.4298	0.6421	10	4	15	16
30	sites evolution	0.2019	-0.4315	3	3	18	24
31	splitting ni	-0.8608	0.0822	1	7	12	46
32	surface evolution	0.992	-0.5724	3	2	11	13
35	transition	-0.4033	0.2714	4	8	23	140
36	water	-0.7343	-0.1171	1	12	24	117
