file_name,page_number,total_pages,content,tokens,has_overlap,has_platinum_metals,has_platinum_precursors,has_her_parameters,has_synthesis_terms,relevance_score
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,1,12,"化工新型材料 New Chemical Materials ISSN 1006-3536,CN 11-2357/TQ 《化工新型材料》网络首发论文 题目：  Co 3O4@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究 作者：  卢瑶，邹华，张爱迪，刘勇，黄守双 DOI： 10.19817/j.cnki.issn1006- 3536.2026.08.005 收稿日期：  2025 -07-23 网络首发日期： 2026 -01-22 引用格式：  卢瑶，邹华，张爱迪，刘勇，黄守双． Co 3O4@Pt复合催化剂的制备及其在电 解水析氧反应中的性能研究 [J/OL]．化工新型材料 . https://doi.org/10.19817/j.cnki.issn1006 -3536.2026.08.005 网络首发 ：在编辑部工作流程中，稿件从录用到出版要经历录用定稿、排版定稿、 整期汇编定稿等阶 段。录用定稿指内容已经确定，且通过同行评议、主编终审同意刊用的稿件。排版定稿指录用定稿按照期 刊特定版式（包括网络呈现版式）排版后的稿件，可暂不确定出版年、卷、期和页码。整期汇编定稿指出 版年、卷、期、页码均已确定的印刷或数字出版的整期汇编稿件。录用定稿网络首发稿件内容必须符合《出版管理条例》和《期刊出版管理规定》的有关规定；学术研究成果具有创新性、科学性和先进性，符合编 辑部对刊文的录用要求，不存在学术不端行为及其他侵权行为；稿件内容应基本符合国家有关书刊编辑、 出版的技术标准，正确使用和统一规范语言文字、符号、数字、外文字母、法定计量单位及地图标注等。为确保录用定稿网络首发的严肃性，录用定稿一经发布，不得修改论文题目、作者、机构名称和学术内容， 只可基于编辑规范进行少量文字的修改。 出版确认 ：纸质期刊编辑部通过与《中国学术期刊（光盘版） 》电子杂志社有限公司签约， 在《中国 学术期刊（网络版） 》出版传播平台上创办与纸质期刊内容一致的网络版， 以单篇或整期出版形式，在印刷 出版之前刊发论文的录用定稿、排版定稿、整期汇编定稿。 因为《中国学术期刊（网络版） 》是国家新闻出 版广电总局批准的网络连续型出版物（ISSN 2096-4188， CN 11 -6037/Z），所以签约期刊的网络版上网络首 发论文视为正式出版。",897,True,True,False,False,True,4
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,2,12,"[接上页] 出版确认 ：纸质期刊编辑部通过与《中国学术期刊（光盘版） 》电子杂志社有限公司签约， 在《中国 学术期刊（网络版） 》出版传播平台上创办与纸质期刊内容一致的网络版， 以单篇或整期出版形式，在印刷 出版之前刊发论文的录用定稿、排版定稿、整期汇编定稿。 因为《中国学术期刊（网络版） 》是国家新闻出 版广电总局批准的网络连续型出版物（ISSN 2096-4188， CN 11 -6037/Z），所以签约期刊的网络版上网络首 发论文视为正式出版。

Co3O4@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究 卢 瑶 1    邹 华1*   张爱迪2   刘 勇2   黄守双3* （1. 国家动力电池创新中心燃料电池分中心 , 上海市燃料电池技术创新中心 , 上海重塑能源 科技有限公司 , 上海  201800；2. 江苏省功能高分子膜材料工程研究中心 , 江苏省高分子新 材料工程技术研究中心 , 南京贝迪新材料科技 (集团 )股份有限公司 , 南京  211103； 3. 上海 大学 , 环境与化学工程学院 , 上海   200444 ) 摘 要  电解水制氢是实现清洁能源转化的有效途径 ，其中析氧反应 (OER)作为电解水的阳极 反应，对整体能耗起关键作用。然而， OER的反应动力学较为缓慢，且通常需要贵金属催化剂 (如RuO 2或者 IrO 2)来降低过电位，这显著提高了制氢成本，限制了 电解水制氢技术的大规模 应用。因此，开发高效、稳定且低成本的非贵金属 OER催化剂成为研究重点。以普鲁士蓝类 似物为模板，通过高温退火法制备了 Co3O4@Pt复合催化剂。采用扫描电子显微镜、透射电子 显微镜、 X射线衍射仪、 X射线光电子能谱仪对复合催化剂的结构和形貌进行表征，通过电化 学工作站 测试了其催化性能。结果表明： Co3O4@Pt具有多孔纳米立方体结构，形成了 Pt和 Co3O4的异质结界面，提供了快速的电荷传输路径； Co3O4@Pt在低过电位下实现了高电流密 度，同时表现出较低的塔菲尔斜率和更高的双电层电容，表明其具有丰富的活性位点和优异的 OER动力学。基于以上优势，该催化剂有效提高了电荷转移效率，降低了 OER反应能垒，从 而提升了电解水效率。 关键词   Co3O4@Pt，电解水，析氧反应 ，异质结 中图分类号 TQ426                 文献标识码 A DOI：10.19817 /j.cnki.issn 1006 -3536.202 6.08.005 Preparation o f highly -efficient Co 3O4@Pt catalyst with enhanced electrocatalytic activity toward oxygen evolution reaction Lu Yao 1   Zou Hua1  Zhang Aidi 2  Liu Yong2  Huang Shoushuang3 （1. Fuel Cell Branch of  National Power Battery Innovation Center, Shanghai Fuel Cell Technology Innovation Center, Shanghai REFIRE Technology Co., Ltd., Shanghai 201800 ； 2. Engineering Research Center of Functional Polymer Membrane Materials of Jiangsu Province, Engineering Res earch Center of Polymer Novel Materials of Jiangsu Province, Nanjing Bready Advanced Materials Technology (Group) Co., Ltd., Nanjing 211103 ； 3. Shanghai University, Shanghai 200444) Abstract  Hydrogen production through water splitting is an effective pat hway for clean energy conversion, in which the oxygen evolution reaction (OER), as the anode reaction of water electrolysis, plays a critical role in determining the overall energy consumption. However, the reaction kinetics of OER are relatively sluggish and it typically requires precious metal catalysts (such as RuO 2 or IrO 2) to reduce overpotentials, which significantly increases the cost of hydrogen production and limits its large -scale application. Therefore, it ’s urgent to develop efficient, stable, and low -cost non -precious metal OER catalyst. In this work, the hybrid catalyst of Co 3O4@Pt was rationally prepared using Prussian blue analogs ( Co3[Co(CN) 6]3) as templates. The structure and morphology of the composite catalyst were characterized by scanning electron microscopy (SEM), transmission electron microscopy (TEM), X -ray diffractometer (XRD) and X -ray photoelectron spectroscopy (XPS), and its catalytic performance was tested by an electrochemical workstation. Results show that the resulting C o3O4@Pt exhibits a porous cubic structure, forming a heterojunction interface between Pt and Co 3O4, which provides a fast charge transfer pathway for OER. Electrochemical tests demonstrate that Co 3O4@Pt achieves high current density at low ÍøÂçÊ×·¢Ê±¼ä£º2026-01-22 16:00:21       ÍøÂçÊ×·¢µØÖ·£ºhttps://link.cnki.net/urlid/11.2357.TQ.20260122.1333.005",1578,True,True,False,True,True,6
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,3,12,"[接上页] 1333. 005

overpotentials, along with a lower Tafel slope and higher double -layer capacitance, indicating abundant active sites and excellent OER kinetics. Based on these advantages, the catalyst greatly improved the charge transfer, reduced the reaction energy barrier, and thereby enhanced the catalytic activity toward water splitting. Key words  Co3O4@Pt, electrolysis of water, oxygen evolution reaction, heterojunction 收稿日期 ：2025 -07-23；修回日期 ：2026 -01-14 基金项目 ：国家自然科学基金区域创新发展联合基金项目 (U24A20286) ；江苏省科技成果转 化基金项目 (BA2023020 ) 作者简介 ：卢瑶 (1989 -), 女, 硕士 , 工程师 , 主要研究方向为电解水制 氢, E-mail：carol.lu@re - fire.com。 通讯作者 ：邹华 (1989 -）, 男, 高级工程师 , 主要从事氢燃料电池及其在新能源汽车 中的应用 研究，E-mail：hua.zou@refire.com 。 通讯作者 ：黄守双 (1985 -）, 男, 副研究员 , 从事无机功能纳米材料可控制备及其在电化学储 能及转化等领域研究 ，E-mail：sshuang@shu.edu.cn 。 近年来，全球气候恶化以及煤炭和石油等不可再生能源的日益枯竭，推动了对氢作为可 再生清洁能源的迫切需求，清洁氢也是我国未来能源产业的重要发展方向。电解水是一种有 效的制氢技术，但其作为氢气燃烧的逆反应，是一个吸热过程，分解水分子生成氢气需要额 外的能量。理论上，水的分解电压仅为 1.23V，但由于过电位的存在，实际反应能垒远高于 1.23V[1]。因此，降低过电位是提高电解水效率的关键。水分解过程包括阴极的析氢反应和阳 极的析氧反应 (OER)，其中 OER由于涉及四电子反应，其动力学缓慢，是控制水分解速度的 关键步骤，因此开 发高效、稳定且低成本的 OER催化剂至关重要[2]。过渡金属氧化物凭借 可变的价态、可调的电子结构、丰富的储量和良好的可扩展性，被认为是非贵金属 OER催 化剂的理想材料， 如 Fe2O3[3]、NiO[4]和CoO[5]等氧化物已在 OER中得到了广泛应用。 然而， 这些氧化物的催化性能往往受到导电性不足和反应活性有限的制约。 构建异质结结构能够在催化剂界面诱导电荷转移，从而有效改善电催化性能。 Zhang等 [6]的研究表明 Co/CoO异质结的界面促进了电子的快速转移，降低了 OER的过电位。 Gao等 [7]发现 Fe2O3/CuO复合材料促进了含氧中间体的吸附与活化，显著降低了反应能垒，提升了 OER活性。 Dai等[8]证实 CeO 2/CoS 1.97异质结的界面协同效应能够有效降低 OER过电位。上 述研究表明，异质结结构在不同氧化物间建立了有效的电荷传输路径，能够显著增强催化剂 的电化学活性和稳定性。除了材料的本征特性外，催化剂的形貌也对其电催化性能具有显著 影响。介孔催化剂因大比表面积、丰富的孔道结构和高效的物质传输能力在 OER中表现出 优异的性能[9]。然而，制备稳定、均匀的介孔结构通常较为困难，受限于复杂的合成工艺和 结构控制。为克服这一 难题，普鲁士蓝类似物 (PBAs )被广泛应用于制备介孔结构催化剂的模 板[10-11]。 这是因为 PBAs易于合成， 具有均匀的尺寸、 灵活的金属组成以及清晰的结构特征。 此外， PBAs具有良好的水热稳定性和可调的反应活性，使其成为构筑空心或多孔纳米结构 的理想模板，这种独特结构能够显著提高催化剂的活性位点暴露率，增强物质传质能力，从 而提升 OER活性和稳定性。 本研究以钴基普鲁士蓝类似物 (Co3[Co(CN) 6]3，简称 CoCo PBA )为前驱体，通过与氯铂 酸溶液混合并在氮气气氛下退火，制备了 Co3O4@Pt复合催化剂。通过系列表征分析了复 合催化剂的结构、形貌及表面元素组成，并研究了其电催化性能。 该研究为电解水 OER催 化剂的设计提供了新思路， 开发的 Co3O4@Pt复合催化剂 有望在未来的清洁能源转换中得到广 泛应用。",1719,True,True,False,True,True,6
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,4,12,"[接上页] 通过系列表征分析了复 合催化剂的结构、形貌及表面元素组成，并研究了其电催化性能。 该研究为电解水 OER催 化剂的设计提供了新思路， 开发的 Co3O4@Pt复合催化剂 有望在未来的清洁能源转换中得到广 泛应用。

1 实验部分 1.1  原料与仪器 乙酸钴、二水合柠檬酸三钠、钴氰酸钾、乙醇、 氯铂酸溶液、 去离子水等。 扫描电子显微镜 (SEM，Apreo 2S 型)，美国 Thermo Fisher Scientific 公司；透射电子显 微镜（ TEM，JEOL2100 型），日本 JEOL公司； X射线粉末衍射仪（ XRD，D/max -2200/PC 型），日本 Rigaku公司； X射线光电子能谱仪 (XPS，ESCALAB™ Xi+型）美国 Thermo Fisher Scientific 公司；电化学工作站 (CHI 660E 型)，上海辰华仪器有限公司。 1.2  CoCo PBA 纳米立方体的制备 CoCo PBA 的制备方法参考文献 [12]，具体制备过程如下：将 4mmol乙酸钴和 4.5mmol 二水合柠檬酸三钠溶解在 100mL去离子水中， 得到溶液 A。将2mmol钴氰酸钾溶解在 100mL 去离子水中，得到溶液 B。将溶液 A与溶液 B混合并搅拌 30min，随后静置老化 24h。最 后，用去离子水和乙醇多次洗涤、离心、烘干沉淀，得到 CoCo PBA 纳米立方体。 1.3  Co 3O4@Pt复合催化剂的制备 称取 60mg CoCo PBA 分散在 60mL乙醇中， 超声处理 30min后置于磁力搅拌机上搅拌， 缓慢滴加 1mL质量浓度为 20mg/mL 的氯铂酸 /乙醇溶液，搅拌 20h后离心收集产物，干燥 后得到粉红色粉末状 CoCo PBA@Pt 。 将CoCo PBA@Pt 均匀铺在瓷舟中 ，在马弗炉中以 2℃/min的升温速率升至 450℃保温 2h，冷却至室温，得到 Co3O4@Pt复合催化剂。 1.4  电化学性能测试 采用电化学工作站测试电化学性能。测试中，使用碳棒作为对电极， Hg/HgO电极作为 参比电极，涂覆催化剂的泡沫镍作为工作电极。线性扫描伏安法 (LSV)、循环伏安法及计时 电位法测试均在氧气饱和的 1.0mol/L KOH 溶液中进行，且使用 90%的内阻补偿以减少溶液 电阻的影响。 电位通过公式 ERHE = E (Hg/HgO) + 0.0592 × pH + 0.098 转换至可逆氢电极 (RHE)作为参 比，其中 ERHE为可逆氢电极电位 ，单位  V；E (Hg/HgO) 为汞 /汞氧电极电 位，单位  V；pH 为溶液的 pH。通过测量双电层电容 (Cdl)计算得出电化学活性表面积。 电化学阻抗谱 (EIS)分 析采用 5mV的交流振幅 ，设定频率为0.01~10⁵ Hz。 2  结果与讨论 2.1  Co3O4@Pt复合催化剂的制备过程 普鲁士蓝类衍生物作为一种金属 -有机框架材料 ，具有规则的三维孔道结构和良好的化 学稳定性 ，能够提供均匀且丰富的活性位点 。首先通过共沉淀法制备出尺寸均匀的 CoCo PBA纳米立方体作为模板 ，并将这些粉末分散在乙醇中并超声处理 。乙醇不仅仅作为溶剂 ， 它可通过其分子间作用力有效促进 CoCo PBA 纳米立方体的均匀分散 ，减缓团聚现象 。经过 超声处理 ，进一步破坏了 CoCo PBA 纳米立方体的团聚 ，使其在溶液中分布更加均匀 。将氯 铂酸 /乙醇溶液逐步加入到上述分散液中 。氯铂酸 /乙醇溶液呈现浅黄色 ，随着搅拌时间的延 长，PtCl 6²⁻离子通过静电吸引和配位交换与 CoCo PBA 发生相互作用 ，逐渐被其吸附 。经过 20h搅拌后，离心处理得到的上清液变为无色透明 ，表明 PtCl 62–离子已完全被 CoCo PBA 吸 附。将CoCo PBA@Pt 置于马弗炉中进行退火处理 。退火过程中 ，PBAs中的 Co2+离子在高 温下与氧气反应 ，生成 Co3O4纳米颗粒 ，并且这些纳米颗粒通过自发堆积 ，形成具有多孔结 构的立方体 。此多孔结构为随后还原形成的 Pt纳米颗粒提供了高度分散的负载基质 ，能够 有效提高复合催化剂的催化活性 。同时，在高温退火中 ，PtCl 6²⁻中的 Pt⁴⁺离子被还原为 Pt⁰纳 米颗粒，这些 Pt纳米颗粒均匀分布在 Co3O4颗粒的表面 。与此同时 ，模板中的氰基在高温 下分解，生成气态产物 NO 2和CO 2并被逸出 。通过上述化学反应和结构演变 ，最终制备出 Co3O4@Pt复合催化剂 。",1966,True,True,True,True,True,8
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,5,12,"[接上页] 与此同时 ，模板中的氰基在高温 下分解，生成气态产物 NO 2和CO 2并被逸出 。 通过上述化学反应和结构演变 ，最终制备出 Co3O4@Pt复合催化剂 。

2.2  结构表征分析 2.2.1  SEM 及TEM分析 CoCo PBA 、CoCo PBA@Pt 的SEM图及 TEM图见图 1。由图 1(a)可知：CoCo PBA 为 规则的立方体结构 ，颗粒均匀且表面光滑 ，平均粒径约为 1μm。TEM分析显示 CoCo PBA 为实心结构 [见图 1(b)]。这些形貌特征表明 CoCo PBA 作为模板在形态控制上具备良好的稳 定性和一致性 。由图 1(c)和图 1(d)可知，吸附 PtCl 62⁻离子后，CoCo PBA 的立方体形貌与粒 径并未发生显著变化 ，表面依然保持光滑且结构完整 ，表明 CoCo PBA 作为模板其形态和尺 寸在吸附过程中保持了较高的稳定性 。 图1  CoCo PBA 、CoCo PBA@Pt 的SEM图及 TEM图 [(a) CoCo PBA 的SEM图；(b) CoCo PBA 的TEM图；(c) CoCo PBA@Pt 的SEM图； (d) CoCo PBA@Pt 的TEM图] Co3O4@Pt复合催化剂的 微观形貌图及 选区电子衍射 (SAED )图见图 2。由图 2(a)可知， 复合催化剂在宏观上仍然保持了 CoCo PBA 模板的立方体形貌。然而，从高倍率 SEM图[见 图2(b)]中可以看到，这些立方体由纳米颗粒堆积而成。这种由纳米颗粒自组装形成的多孔 结构，源于退火过程 中有机配体的分解以及纳米颗粒的自组装和自发重构。多孔结构极大地 增加了催化剂的比表面积， 从而提升了活性位点的本征密度， 有助于显著增强催化性能[13-14]。 TEM表征进一步揭示了催化剂内部的微观结构，纳米立方体内部形成了明显的孔洞 [见图 2(c)]，有助于提高反应物的传质效率。为了深入分析退火过程中的结构演变，进行了 SAED 分析，结果如图 2(d)所示，其衍射环可分别归属于 Co3O4 (311)和Pt (111)。这表明在高温条 件下， CoCo PBA 中的钴离子经历了氧化过程，与氧气反应生成了 Co3O4。这种转变意 味着 CoCo PBA 在高温条件下被转化为具有更高催化活性的氧化物。",898,True,True,False,True,True,6
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,6,12,"[接上页] 这表明在高温条 件下， CoCo PBA 中的钴离子经历了氧化过程，与氧气反应生成了 Co3O4。 这种转变意 味着 CoCo PBA 在高温条件下被转化为具有更高催化活性的氧化物。

图2  Co 3O4@Pt催化剂的 微观形貌图及 SAED图 [(a)SEM 图，×50000；(b)SEM图，×200000；(c)TEM图； (d)SAED 图] 图3为Co3O4@Pt复合催化剂的高分辨透射电子显微镜 (HRTEM) 图及其局部放大图， 从 图中可以观察到清晰的晶格条纹，晶格间距分别为 0.28nm和0.26nm，分别归属于 Co3O4的 (220)晶面和 Pt的(111)晶面。 Co3O4和Pt在纳米尺度上相互接触并形成界面结构， 从而优化 电子的传递过程， 提高反应物的吸附和活化。 Pt纳米颗粒的均匀分布和高度晶化状态对于催 化反应至关重要，因为 Pt的(111)晶面通常被认为是最具活性的催化位点之一。这种稳定的 异质结结构有效增强了电荷转移能力，有望显著提高复合催化剂的催化效率和稳定性。",445,True,True,False,True,True,6
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,7,12,"[接上页] Pt纳米颗粒的均匀分布和高度晶化状态对于催 化反应至关重要，因为 Pt的(111)晶面通常被认为是最具活性的催化位点之一。 这种稳定的 异质结结构有效增强了电荷转移能力，有望显著提高复合催化剂的催化效率和稳定性。

图3  Co 3O4@Pt复合催化剂的 HRTEM图及其局部放大图 2.2.2  XRD 分析 CoCo PBA 及CoCo PBA@Pt 的XRD谱图见图 4。从图可以看出 ，吸附 PtCl 6²⁻离子后后 CoCo PBA@Pt 的XRD衍射峰位置与吸附前的位置相同 ，未观察到新的衍射峰 。在 2θ=14.93 °、17.3°、24.6°、35.2°、39.5°、43.5°、50.7°、53.7°和56.8°处的衍射峰分别与 CoCo PBA标准卡（（JCPDS #77 -1161）中的 (111)、(200)、(220)、(400)、(420)、(422)、(440)、(600) 和(620)晶面相匹配 。这说明吸附过程对 CoCo PBA 的宏观形貌影响较小 ，表明 CoCo PBA 在PtCl 6²⁻离子吸附过程中形态和尺寸稳定性良好 。 图4  CoCo PBA 及CoCo PBA@Pt 的XRD谱图",468,True,True,False,True,True,6
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,8,12,"[接上页] 这说明吸附过程对 CoCo PBA 的宏观形貌影响较小 ，表明 CoCo PBA 在PtCl 6²⁻离子吸附过程中形态和尺寸稳定性良好 。 图4  CoCo PBA 及CoCo PBA@Pt 的XRD谱图

图5为Co3O4@Pt复合催化剂的 XRD谱图，在2θ=18.7 °、31.2°、36.9°、44.8°、55.7°、 59.4°和65.3°处观察到明显的衍射峰 。这些衍射峰分别对应 Co3O4标准卡（（JCPDS #42 -1467） 中的 (111)、(220)、(311)、(400)、(422)、(511)和(440)晶面，表明 CoCo PBA 在高温退火后转 化为 Co3O4物相。然而，XRD谱图中未观察到 Pt的特征衍射峰 ，原因是 Pt含量较低 ，导致 其信号强度不足以显现 。 图5  Co3O4@Pt复合催化剂的 XRD谱图 2.2.3  XPS 分析 图6为Co3O4@Pt复合催化剂表面元素的高分辨 XPS谱图。 图 6(a)为Co 2p峰的高分辨 XPS谱图，图中显示了 2对自旋轨道双峰和 1对卫星峰 (标记为 Sat.)。位于 779.05 eV 和 794.03 eV 处的自旋轨道双峰分别归属于 Co3+的2p3/2和2p1/2，表明催化剂表面被氧化，与 文献 [15]报道的结果一致。此外， 781.8eV和797.5eV处的自旋轨道双峰则分别对应于 Co2+ 的2p3/2和2p1/2，说明材料中 Co以多价态形式存在[16]。在 785.7eV和802.8eV处观察到的 卫星峰文献 [15]的研究报道相一致 ，进一步验证了 Co3O4物相的生成。图 6(b)为O 2p峰的高 分辨 XPS谱图， 与文献 [17]报道一致。 图 6(c)为Pt 4f峰的高分辨 XPS谱图， 图中位于 71.05eV 和74.26eV处的峰分别对应于 Pt 4f7/2和Pt 4f5/2，证实 Pt的存在，与 TEM分析结果一致 [18]。XPS表征结果说明， 复合催化剂样品中 Co3O4和少量 Pt的共存形成了稳定的复合结构。 图6  Co 3O4@Pt复合催化剂表面元素的高分辨 XPS谱图 [(a)Co 2p峰； (b)O 2p峰； (c)Pt 4f峰] 2.3   OER 性能研究 2.3.1  LSV 曲线及塔菲尔斜率分析 为评估制备的催化材料在电解水中的应用潜力，以 1mol/L KOH 作为电解质溶液，采用",967,True,True,False,True,True,6
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,9,12,"[接上页] 3. 1  LSV 曲线及塔菲尔斜率分析 为评估制备的催化材料在电解水中的应用潜力，以 1mol/L KOH 作为电解质溶液，采用

标准三电极体系测试了样品的 OER催化性能。样品的 OER催化性能见图 7。图 7(a)为样品 的LSV曲线图。 CoCo PBA 纳米立方体的 OER催化活性较低， 驱动 50mA/cm2和100mA/cm2 的电流密度所需的过电位分别约为 389mV和436mV。与此相比， Co3O4的OER性能有所提 高，电流密度 50mA/cm2和100mA/cm2条件下过电为分别为 344mV和400mV，说明热处理 提升了材料的导电性并产生更多的活性位点 。Co3O4@Pt复合催化剂表现出最佳的 OER性 能，电流密度 100mA/cm2时过电位 为340mV，与 RuO 2催化剂相当 (350mV)。其优异的性能 可以归因于 Co3O4和Pt之间的协同效应。图 7(b)为样品的塔菲尔斜率，根据塔菲尔斜率可 以推断材料的 OER动力学[19]。CoCo PBA 、Co3O4、Co3O4@Pt和RuO 2的塔菲尔斜率分别为 179.2mV/dec 、147.3mV/d ec、68.7mV/dec 和121mV/dec 。Co3O4@Pt的塔菲尔斜率明显低于 其他催化材料，说明其 OER动力学性能最佳，在电催化活性方面具有显著优势。图 7(c)为 样品的电压 -电流密度图。从图可以直观地观察到，在相同电流密度下 Co3O4@Pt所需的电 位最低，表明 Co3O4与Pt的复合结构显著提升了 OER动力学，赋予复合催化剂优异的电催 化活性。上述分析表明， Co3O4@Pt复合催化剂在电解水中具有广阔的应用潜力。 图7  样品的 OER催化性能 [(a) LSV曲线图； (b) 塔菲尔斜率； (c) 电压 -电流密度图 ] 2.3.2  电化学活性表面积分析 通过循环伏安法测试了样品的双电层电容 (Cdl)。Cdl是评估材料电化学活性表面积的重 要参数，能够反映催化剂表面暴露的活性位点数量[20]。在非法拉第电位区间内，通过不同扫 描速率下 阳极与阴极电流密度差值 （Δj）与扫描速率的线性拟合 ，其斜率即为 Cdl。样品的 电化学活性面积见图 8。 从图可以看到， Co3O4@Pt的Cdl值为 12.64mF/cm2， 明显高于 Co3O4 (8.77mF/cm2)和RuO 2 (4.42mF/cm2)。分析结果表明， Co3O4@Pt复合催化剂具有更大的电化 学表面积，暴露了更多的活性位点，从而在 OER过程中表现出更优异的催化性能。",1040,True,True,False,True,True,6
Co_(3)O_(4)@Pt复合催化剂的制备及其在电解水析氧反应中的性能研究_卢瑶.pdf,10,12,"[接上页] 42mF/cm2)。 分析结果表明， Co3O4@Pt复合催化剂具有更大的电化 学表面积，暴露了更多的活性位点，从而在 OER过程中表现出更优异的催化性能。

图8  样品的电化学活性面积 2.3.3   EIS 谱图及稳定性分析 图9为样品的 EIS谱图。根据插图所示的等效电路模型，对 EIS谱图进行拟合可得到溶 液电阻 (Rs)、界面电荷转移电阻 (Rct)以及常相位元件 (CPE1 )，其中 Rs反映电解质和电极体系 的欧姆阻抗， Rct表征界面电荷转移过程的难易程度， CPE1用于描述电极界面的非理想电容 行为。对比不同样品可以发现， Co3O4@Pt复合催化剂表现出最小的界面电荷转移阻抗，表 明其界面电荷传输更为高效，从而赋予其更优异的电催化活性[21]。 图9   样品的 EIS谱图 除了催化活性，稳定性同样是评估材料 OER性能的重要指标。在电流密度 50mA/cm2 条件下，通过长时间计时电位法对 Co3O4@Pt复合催化剂进行稳定性测试。测试结果表明： 经过 12h的OER后，过电位微弱降低，这表明在长时间的反应过程中，材料表面生成了有 利于 OER的活性物种，从而进一步降低了过电位，提升了反应效率； Co3O4@Pt复合催化剂 不仅在 OER中表现出优异的催化活 性，还具备极高的稳定性，能够在碱性溶液中长时间保 持优异的性能。 3  结论",585,True,True,False,True,True,6
